Id;movie_title;title_year;color;duration;genres;movie_facebook_likes;director_name;director_facebook_likes;num_critic_for_reviews;num_user_for_reviews;actor_1_name;actor_2_name;actor_3_name;actor_1_facebook_likes;actor_2_facebook_likes;actor_3_facebook_likes;gross;num_voted_users;cast_total_facebook_likes;plot_keywords;language;country;content_rating;budget;aspect_ratio;imdb_score;tomato_score;tomato_audience_score;label
25;A Guy Thing;2003;Color;101;Comedy|Romance;401;Chris Koch;13;81;92;Thomas Lennon;Lochlyn Munro;James Brolin;651;555;499;15408822;14147;2698;bachelor party|climbing a tree|taxi|toilet|wedding;English;USA;PG-13;20000000;1.85;5,6;66%;77%;0
26;Green Room;2015;Color;95;Crime|Horror|Music|Thriller;10000;Jeremy Saulnier;57;322;125;Alia Shawkat;Mark Webber;Joe Cole;727;442;233;3219029;28845;1836;murder|neo nazi|punk band|skinhead|suspense;English;USA;R;5000000;2.35;7,1;95%;27%;0
27;Ladies in Lavender;2004;Color;104;Drama|Romance;;;;;;;;;;;;20377075;;;;English;;;0;;6,5;86%;22%;1
28;Christmas Mail;2010;Color;89;Comedy|Drama|Family|Romance;190;John Murlowski;20;2;7;Ashley Scott;Piper Mackenzie Harris;Lochlyn Munro;794;607;555;;858;2579;boss|holiday|letter|north pole|santa;English;USA;TV-PG;2500000;;5,8;62%;73%;0
29;Lara Croft: Tomb Raider;2001;Color;100;Action|Adventure|Fantasy|Thriller;0;Simon West;165;199;824;Angelina Jolie Pitt;Noah Taylor;Chris Barrie;11000;509;240;131144183;157016;12150;illuminati|planetary alignment|time|tomb|tomb raider;English;USA;PG-13;115000000;2.35;5,7;34%;76%;0
30;Bonnie and Clyde;1967;Color;111;Crime|Drama;;;;;;;;;;;;50700000;;;;English;;;2500000;;7,6;8%;5%;0
31;The SpongeBob Movie: Sponge Out of Water;2015;Color;92;Adventure|Animation|Comedy|Family|Fantasy;16000;Paul Tibbitt;5;147;133;Tim Conway;Billy West;Eddie Deezen;870;861;726;162495848;34359;5217;book|magic|pirate|plankton|time machine;English;USA;PG;74000000;1.85;6;8%;46%;0
32;Diary of the Dead;2007;Color;95;Horror;0;George A. Romero;0;280;332;Megan Park;Shawn Roberts;Joe Dinicol;569;529;192;952620;40800;1797;barn|film student|hospital|mummy|video camera;English;USA;R;2000000;1.85;5,7;7%;81%;0
33;Heat;1995;Color;170;Action|Crime|Drama;;;;;;;;;;;;187436818;;;;English;;;60000000;;7,7;77%;5%;1
34;Lorenzo's Oil;1992;Color;135;Drama;;;;;;;;;;;;7286388;;;;English;;;0;;6,6;20%;93%;1
35;Earth Girls Are Easy;1988;Color;100;Music|Comedy|Drama;;;;;;;;;;;;3916303;;;;English;;;10000000;;5,5;88%;66%;0
36;Snow White: A Tale of Terror;1997;Color;100;Fantasy|Horror;0;Michael Cohn;2;22;69;David Conrad;Chris Bauer;Monica Keena;642;638;512;;8118;2170;apple|miner|mirror|necromancy|woods;English;USA;R;26000000;1.85;6,3;60%;35%;0
37;Draft Day;2014;Color;110;Drama|Sport;14000;Ivan Reitman;425;159;113;Jennifer Garner;Chi McBride;Patrick St. Esprit;3000;466;148;28831145;39357;3757;cleveland browns|head coach|linebacker|nfl|team owner;English;USA;R;25000000;2.35;6,8;64%;1%;0
38;Courage Under Fire;1996;Color;116;Action|Drama|Mystery|Thriller|War;975;Edward Zwick;380;65;107;Denzel Washington;Matt Damon;Scott Glenn;18000;13000;826;58918501;40126;33233;bravery|honor|medal of honor|military life|unreliable flashback;English;USA;R;46000000;1.85;6,6;21%;56%;1
39;Defendor;2009;Color;95;Comedy|Crime|Drama;0;Peter Stebbings;89;78;90;Michael Kelly;Tony Nappo;Charlotte Sullivan;963;654;388;37606;31836;2658;gun running|organized crime|pimp|superhero|vigilante;English;Canada;R;3500000;2.35;6,8;18%;37%;0
40;North Dallas Forty;1979;Color;119;Comedy|Drama;;;;;;;;;;;;26079312;;;;English;;;0;;6,2;56%;88%;0
41;Smokin' Aces;2006;Color;109;Action|Crime|Drama|Thriller;3000;Joe Carnahan;248;186;482;Ryan Reynolds;Common;Alex Rocco;16000;988;968;35635046;121058;19410;casino|fbi|mafia|mob hit|sniper;English;UK;R;17000000;2.35;6,7;16%;61%;1
42;Drowning Mona;2000;Color;96;Comedy|Crime|Mystery;492;Nick Gomez;22;84;148;Will Ferrell;Jamie Lee Curtis;Tracey Walter;8000;2000;324;15427192;11768;11078;crying woman|plot|suspect|waitress|younger man older woman relationship;English;USA;PG-13;16000000;1.85;5,6;52%;55%;0
43;The Girl on the Train;2009;Color;105;Drama;120;AndrÇ TÇchinÇ;25;66;14;Catherine Deneuve;Ronit Elkabetz;«?milie Dequenne;963;168;98;2874;1219;1375;bar mitzvah|lawyer|train|wealth|wrestler;French;France;Unrated;;2.35;6;90%;81%;0
44;Unaccompanied Minors;2006;Color;90;Adventure|Comedy|Family|Romance;498;Paul Feig;176;73;56;Tyler James Williams;Rob Riggle;B.J. Novak;931;839;825;16647384;8398;4431;airport|black comedy|blizzard|christmas|pennsylvania;English;USA;PG;26000000;2.35;5,1;10%;74%;0
45;Grabbers;2012;Color;94;Comedy|Horror|Sci-Fi|Thriller;11000;Jon Wright;4;187;70;Russell Tovey;Richard Coyle;Bronagh Gallagher;796;567;114;;13227;1832;bathtub|eaten alive|ferry boat|lobster trap|sprinkler system;English;UK;Not Rated;4000000;2.35;6,3;23%;64%;0
46;Cyborg;1989;Color;86;Action|Science Fiction;;;;;;;;;;;;10166459;;;;English;;;500000;;4,9;8%;22%;0
47;K2;1991;Color;102;Thriller|Action|Adventure;;;;;;;;;;;;3106559;;;;English;;;0;;5,7;88%;41%;0
48;Serendipity;2001;Color;82;Comedy|Romance;12000;Peter Chelsom;23;122;374;Lilli Lavine;David Sparrow;Ann Talman;11;9;6;49968653;85423;37;christmas|destiny|fate|love|serendipity;English;USA;PG-13;28000000;1.85;6,9;77%;97%;0
49;Compadres;2016;Color;101;Action|Comedy;174;Enrique Begne;0;5;8;Kevin Pollak;H«∏ctor Jim«∏nez;Erick Elias;574;327;165;3105269;368;1335;;English;Mexico;R;3000000;;5;20%;10%;0
50;Waxwork;1988;Color;95;Horror|Comedy;;;;;;;;;;;;808114;;;;English;;;0;;5,7;25%;74%;0
51;The Messenger: The Story of Joan of Arc;1999;Color;158;Adventure|Biography|Drama|History|War;0;Luc Besson;0;111;390;Paul Brooke;David Bailie;Rab Affleck;51;40;15;14131298;55889;144;cathedral|dauphin|france|trial|wartime rape;English;France;R;390000000;2.35;6,4;6%;13%;0
52;An American Tail: Fievel Goes West;1991;Color;75;Adventure|Animation|Family;;;;;;;;;;;;40766041;;;;English;;;0;;6,2;29%;28%;0
53;The Big Tease;1999;Color;86;Comedy;182;Kevin Allen;8;33;31;Craig Ferguson;Frances Fisher;Mary McCormack;759;638;428;185577;2133;2805;competition|fake documentary|hairdresser|nudity|reference to liberace;English;UK;R;4000000;1.85;6,3;44%;97%;0
54;The Glimmer Man;1996;Color;91;Action|Comedy|Crime|Drama|Thriller;451;John Gray;29;39;80;Alexa PenaVega;Bob Gunton;Keenen Ivory Wayans;2000;461;322;20400913;15455;3855;detective|heavy rain|murder|partner|serial killer;English;USA;R;45000000;1.85;5,3;55%;10%;0
55;Neighbors;2014;Color;97;Comedy;21000;Nicholas Stoller;89;351;397;Craig Roberts;Carla Gallo;Ike Barinholtz;920;798;329;150056505;216581;2771;broken leg|friendship|jewish|topless female nudity|urination;English;USA;R;18000000;2.35;6,4;98%;99%;0
56;The Second Mother;2015;Color;112;Comedy|Drama;0;Anna Muylaert;9;111;26;Alex Huszar;Regina Cas«∏;Luis Miranda;61;9;4;375723;7025;76;brazil|exam|housekeeper|northeast region of brazil|portuguese language;Portuguese;Brazil;R;4000000;2.35;7,9;61%;11%;0
57;I Like It Like That;1994;Color;104;Comedy|Drama|Romance;;;;;;;;;;;;1777020;;;;English;;;0;;6,3;62%;65%;0
58;Go;1999;Color;102;Comedy|Crime;0;Doug Liman;218;137;418;Sarah Polley;Jay Mohr;Scott Wolf;900;563;376;16842303;59474;2475;drug deal|drugs|sex|sex on stairs|strip club;English;USA;R;6500000;2.35;7,3;47%;76%;1
59;Pure Luck;1991;Color;96;Comedy|Crime|Mystery;;;;;;;;;;;;24941969;;;;English;;;17010000;;5,5;44%;3%;0
60;Blind Dating;2006;Color;99;Comedy;;;;;;;;;;;;834457;;;;English;;;0;;6;60%;8%;0
61;The Adventures of Pluto Nash;2002;Color;95;Action|Comedy|Sci-Fi;416;Ron Underwood;31;66;164;Rosario Dawson;Randy Quaid;Burt Young;3000;695;683;4411102;20295;6161;casino|future|laser gun|moon|nightclub;English;USA;PG-13;100000000;1.85;3,8;94%;71%;0
62;The Ballad of Gregorio Cortez;1982;Color;105;Western;32;Robert M. Young;0;;2;Barry Corbin;Bruce McGill;Ned Beatty;883;655;467;;39;3164;;English;USA;;1250000;;7,1;46%;84%;0
63;The Road to El Dorado;2000;Color;89;Adventure|Animation|Comedy|Family|Romance;0;Bibo Bergeron;10;82;139;Frank Welker;Rosie Perez;Elton John;2000;919;442;50802661;58300;3372;adventurer|el dorado|gold|high priest|implied sex;English;USA;PG;95000000;1.85;6,9;25%;17%;0
64;Perfect Sense;2011;Color;92;Drama|Science Fiction|Romance;;;;;;;;;;;;908000;;;;English;;;0;;6,9;28%;42%;1
65;A Million Ways to Die in the West;2014;Color;136;Comedy|Western;24000;Seth MacFarlane;3000;303;416;Liam Neeson;Charlize Theron;Seth MacFarlane;14000;9000;3000;42615685;136093;28927;dancing sheep|fetish|musical scene|racial humor|snake poison;English;USA;R;40000000;2.35;6,1;65%;59%;0
66;Long Time Dead;2002;Color;94;Horror|Thriller;;;;;;;;;;;;13102295;;;;English;;;0;;4,5;74%;95%;0
67;Strange Wilderness;2008;Color;87;Adventure|Comedy;847;Fred Wolf;29;58;120;Kevin Alejandro;Ashley Scott;Jeff Garlin;1000;794;522;6563357;18571;4218;bigfoot|critically bashed|ecuador|friend|tv show;English;USA;R;20000000;2.35;5,3;18%;82%;0
68;Some Like It Hot;1959; Black and White;120;Comedy|Music|Romance;10000;Billy Wilder;0;181;350;Nehemiah Persoff;Joe E. Brown;George Raft;105;103;102;25000000;175196;527;all girl band|band|cross dressing|musician|yacht;English;USA;Not Rated;2883848;1.66;8,3;46%;79%;0
69;Endless Love;2014;Color;104;Drama|Romance;0;Shana Feste;19;98;76;Alex Pettyfer;Bruce Greenwood;Rhys Wakefield;15000;989;942;23393765;31323;18760;brother sister relationship|high school graduation|love|sparkler|unfaithful husband;English;USA;PG-13;20000000;2.35;6,3;72%;30%;0
70;Bad Santa;2003;Color;98;Comedy|Crime|Drama;10000;Terry Zwigoff;72;195;485;Bernie Mac;Tony Cox;Alex Borstein;1000;624;566;60057639;107815;3151;bartender|christmas|christmas eve|department store|drink;English;USA;R;18000000;1.85;7,1;97%;10%;1
71;Weekend at Bernie's;1989;Color;97;Comedy;;;;;;;;;;;;30218387;;;;English;;;6500000;;6,4;10%;79%;0
72;My Boss's Daughter;2003;Color;90;Comedy|Romance;411;David Zucker;119;56;123;Carmen Electra;Tyler Labine;Molly Shannon;869;779;636;15549702;24038;3007;boss' daughter|crush|house sitter|housesitting|love interest;English;USA;PG-13;14000000;1.85;4,6;22%;100%;0
73;The Forbidden Kingdom;2008;Color;104;Action|Adventure|Fantasy;0;Rob Minkoff;50;206;279;Jet Li;Thomas McDonell;Michael Angarano;5000;962;947;25040293;88049;7247;monkey king|staff|teenager|urination|warrior;English;USA;PG-13;55000000;2.35;6,6;85%;38%;0
74;Magicians;2007;Color;90;Comedy;;;;;;;;;;;;1752038;;;;English;;;0;;6,2;62%;2%;0
75;Roxanne;1987;Color;107;Comedy|Romance;;;;;;;;;;;;40050884;;;;English;;;0;;6,4;9%;14%;0
76;Cell;2016;Color;98;Horror|Science Fiction|Thriller;;;;;;;;;;;;1133031;;;;English;;;0;;4,4;40%;11%;0
77;The Nutcracker;1993;Color;92;Family|Fantasy|Music;238;Emile Ardolino;22;10;15;Darci Kistler;Kyra Nichols;Margaret Tracey;2;0;0;2119994;1153;2;christmas|lifting female in air|lifting male in air|lifting someone into the air|little girl;English;USA;G;19000000;1.85;5,7;85%;11%;0
78;Slacker;1991; Black and White;100;Comedy|Drama;2000;Richard Linklater;0;61;80;Tommy Pallotta;Richard Linklater;Jean Caffeine;5;0;0;1227508;15103;5;austin texas|moon|pap smear|texas|twenty something;English;USA;R;23000;1.37;7,1;64%;7%;1
79;Labor Day;2013;Color;111;Drama;0;Jason Reitman;655;217;111;J.K. Simmons;Kate Winslet;Brooke Smith;24000;14000;405;13362308;31898;39307;baseball|baseball practice|escaped convict|neighbor|tied to a chair;English;USA;PG-13;18000000;2.35;6,9;40%;96%;0
80;Alvin and the Chipmunks;2007;Color;92;Animation|Comedy|Family|Fantasy|Music;0;Tim Hill;25;131;146;Jesse McCartney;Beth Riesgraf;Matthew Gray Gubler;1000;718;639;217326336;57276;2847;based on cartoon|chipmunk|concert|fart joke|talking animal;English;USA;PG;60000000;1.85;5,2;97%;99%;0
81;Caddyshack;1980;Color;98;Comedy|Sport;0;Harold Ramis;11000;71;250;Bill Murray;Rodney Dangerfield;Brian Doyle-Murray;13000;573;484;39800000;81599;14921;caddy|country club|golf course|gopher|nudity;English;USA;R;6000000;1.85;7,4;89%;28%;1
82;The Sticky Fingers of Time;1997; Black and White;81;Sci-Fi;67;Hilary Brougher;0;8;7;James Urbaniak;Samantha Buck;Terumi Matthews;119;24;5;18195;336;154;future|nonlinear timeline|time travel|title directed by female|writer;English;USA;;250000;1.85;6,3;11%;68%;0
83;Loser;2000;Color;98;Comedy|Romance;1000;Amy Heckerling;143;81;158;Andy Dick;Robert Miano;Zak Orth;302;216;153;15464026;23076;1189;college|loser|love|new york city|overdose;English;USA;PG-13;20000000;1.85;5,3;15%;91%;0
84;Funny Girl;1968;Color;149;Drama|Comedy|Music;;;;;;;;;;;;52223306;;;;English;;;14000000;;6,9;98%;69%;0
85;The Crew;2000;Color;88;Comedy|Crime;153;Michael Dinner;12;53;47;Seymour Cassel;Dan Hedaya;Lainie Kazan;327;281;249;13019253;3914;1509;beach|drug lord|drugs|hotel|stripper;English;USA;PG-13;23000000;1.85;5,6;95%;70%;0
86;The Pit and the Pendulum;1961;Color;80;Fantasy|Horror|Drama;;;;;;;;;;;;2000000;;;;English;;;200000;;6,9;98%;50%;0
87;The Ugly Truth;2009;Color;96;Comedy|Romance;9000;Robert Luketic;126;174;169;Gerard Butler;John Michael Higgins;Eric Winter;18000;957;954;88915214;163665;22436;call in|chick flick|date|hot air balloon|show producer;English;USA;R;38000000;2.35;6,5;52%;52%;1
88;Welcome to Collinwood;2002;Color;86;Comedy|Crime;423;Anthony Russo;94;72;90;Michael Jeter;Isaiah Washington;Andy Davoli;693;534;146;333976;12559;1373;boxing knockout|heist|implied sex|keys|prison;English;USA;R;12000000;2.35;6,4;58%;82%;0
89;Safe Men;1998;Color;88;Comedy|Crime;157;John Hamburg;29;33;52;Harvey Fierstein;Michael Lerner;Josh Pais;499;230;117;21210;2735;1141;gangster|organized crime|robbery|rosh hashanah|safecracking;English;USA;R;1000000;1.85;6,1;84%;21%;0
90;31;2016;Color;102;Horror|Thriller;;;;;;;;;;;;779820;;;;English;;;1500000;;4,9;77%;27%;0
91;Defiance            ;;Color;43;Action|Drama|Sci-Fi;0;;;28;149;Julie Benz;Tony Curran;Grant Bowler;3000;845;600;;33535;5381;alien|alien invasion|planet invasion|post apocalypse|year 2046;English;USA;TV-MA;;1.78;7;44%;95%;0
92;China Girl;1987;Color;90;Romance|Crime|Drama;;;;;;;;;;;;1262091;;;;English;;;0;;6,6;71%;76%;1
93;Hoop Dreams;1994;Color;170;Documentary|Drama|Sport;0;Steve James;23;53;74;William Gates;Arthur Agee;Isiah Thomas;7;6;2;7830611;18980;15;athlete|basketball|high school|high school student|school;English;USA;PG-13;700000;1.33;8,3;61%;53%;1
94;To Have and Have Not;1944;Color;100;War|Action|Adventure;;;;;;;;;;;;3650000;;;;English;;;0;;7,6;95%;91%;0
95;I Give It a Year;2013;Color;97;Comedy|Romance;;;;;;;;;;;;28234657;;;;English;;;0;;5,4;82%;65%;0
96;Runaway Bride;1999;Color;116;Comedy|Romance;0;Garry Marshall;0;103;255;Julia Roberts;Christopher Meloni;Hector Elizondo;8000;3000;995;152149590;74274;12790;bride|columnist|journalist|maryland|wedding;English;USA;PG;70000000;2.35;5,5;53%;48%;0
97;Bella;2006;Color;91;Drama|Romance;0;Alejandro Monteverde;38;60;174;Armando Riesco;Ramon Rodriguez;Eduardo Ver«≠stegui;625;464;377;8108247;9607;2747;inter cultural|latino|restaurant|soccer|train;English;USA;PG-13;3300000;1.85;7,4;86%;39%;1
98;Star Trek III: The Search for Spock;1984;Color;105;Action|Adventure|Sci-Fi;0;Leonard Nimoy;12000;110;192;Leonard Nimoy;Nichelle Nichols;Walter Koenig;12000;664;643;76400000;58743;14762;dying planet|planet|regaining one's memory|sacrifice|stabbed to death;English;USA;PG;17000000;2.35;6,6;68%;18%;1
99;Brewster's Millions;1985;Color;97;Comedy;;;;;;;;;;;;45833132;;;;English;;;20000000;;6,5;6%;38%;1
100;Love Is Strange;2014;Color;98;Drama;;;;;;;;;;;;2262223;;;;English;;;0;;6,4;61%;29%;0
101;Funny Games;2007;Color;111;Crime|Drama|Horror|Thriller;0;Michael Haneke;0;250;436;Naomi Watts;Siobhan Fallon Hogan;Brady Corbet;6000;294;287;1294640;69569;6748;breaking the fourth wall|looking at the camera|remake|serial killer|violence;English;USA;R;15000000;1.85;6,5;87%;39%;0
102;I Don't Know How She Does It;2011;Color;89;Comedy|Romance;0;Douglas McGrath;41;169;68;Olivia Munn;Busy Philipps;Jessica Szohr;2000;1000;847;9639242;16437;5470;black comedy|delivery boy|dinner|gym|punishment;English;USA;PG-13;24000000;1.85;4,9;13%;55%;0
103;Run Lola Run;1998; Black and White;81;Crime|Drama;0;Tom Tykwer;670;181;709;Moritz Bleibtreu;Ludger Pistor;Armin Rohde;486;37;34;7267324;161471;623;bechdel test failed|money|multiple outcomes|repeated event|subway;German;Germany;R;3500000;1.85;7,8;65%;24%;0
104;Stop-Loss;2008;Color;112;Drama|War;982;Kimberly Peirce;108;143;99;Joseph Gordon-Levitt;Channing Tatum;Abbie Cornish;23000;17000;2000;10911750;17757;43560;friendship|honor|iraq war|soldier|texas;English;USA;R;25000000;1.85;6,5;42%;14%;0
105;Step Up;2006;Color;104;Crime|Drama|Music|Romance;0;Anne Fletcher;98;107;271;Channing Tatum;Alyson Stoner;Josh Henderson;17000;2000;920;65269010;90938;21380;dance|dancer|school|showcase|student;English;USA;PG-13;12000000;2.35;6,5;20%;8%;1
106;The Wanderers;1979;Color;117;Drama;;;;;;;;;;;;23000000;;;;English;;;0;;7,2;57%;35%;0
107;Final Destination;2000;Color;98;Horror|Thriller;0;James Wong;70;211;674;Daniel Roebuck;Brendan Fehr;Kerr Smith;1000;847;591;53302314;181058;3345;dead teenager|death|explosion|premonition|teenager;English;USA;R;23000000;1.85;6,7;8%;48%;1
108;Star Trek: First Contact;1996;Color;111;Action|Adventure|Drama|Sci-Fi|Thriller;3000;Jonathan Frakes;906;143;286;LeVar Burton;Alfre Woodard;Jonathan Frakes;1000;1000;906;92001027;97838;6315;21st century|borg|borg sphere|captain|sphere;English;USA;PG-13;45000000;2.35;7,6;71%;37%;1
109;Charlie Wilson's War;2007;Color;102;Biography|Comedy|Drama|History;0;Mike Nichols;0;269;289;Philip Seymour Hoffman;Tom Hanks;Jud Tylor;22000;15000;15000;66636385;88451;60646;afghanistan|arms dealer|based on true story|cia|texas;English;USA;R;75000000;1.85;7,1;32%;51%;0
110;Company Business;1991;Color;98;Action|Thriller;;;;;;;;;;;;1501785;;;;English;;;0;;5,2;28%;16%;0
111;Genius;2016;Color;82;Drama|History;;;;;;;;;;;;5681622;;;;English;;;0;;6,5;3%;27%;0
112;Christmas Eve;2015;Color;95;Comedy;0;Mitch Davis;7;6;15;Gary Cole;Jon Heder;Cheryl Hines;989;970;541;;1091;3514;;English;USA;PG;;;5,1;77%;21%;0
113;Top Spin;2014;Color;80;Documentary;116;Sara Newens;0;18;2;Ariel Hsing;Xinhua Jiang;Michael Landers;0;0;0;5858;260;0;;English;USA;;150000;;7,1;85%;66%;0
114;The Core;2003;Color;135;Action|Adventure|Sci-Fi|Thriller;0;Jon Amiel;36;149;466;Glenn Morshower;Tch«∏ky Karyo;Rekha Sharma;894;345;106;31111260;77029;1439;core|earth|natural disaster|pacemaker|scientist;English;USA;PG-13;60000000;2.35;5,4;34%;41%;0
115;The Jungle Book;2016;Color;106;Adventure|Drama|Family|Fantasy;65000;Jon Favreau;4000;370;398;Scarlett Johansson;Bill Murray;Garry Shandling;19000;13000;591;362645141;106221;32921;fire|jungle|remake|tiger|wolf;English;UK;PG;175000000;1.85;7,8;31%;12%;1
116;Tap;1989;Color;111;Action|Drama;;;;;;;;;;;;9114702;;;;English;;;0;;6;4%;89%;0
117;The Hobbit: An Unexpected Journey;2012;Color;182;Adventure|Fantasy;166000;Peter Jackson;0;645;1367;Aidan Turner;Adam Brown;James Nesbitt;5000;972;773;303001229;637246;9152;dragon|dwarf|hobbit|orc|wizard;English;USA;PG-13;180000000;2.35;7,9;32%;56%;1
118;Transsiberian;2008;Color;111;Crime|Drama|Mystery|Thriller;0;Brad Anderson;122;150;162;Thomas Kretschmann;Eduardo Noriega;Mac McDonald;918;278;25;2203641;42792;1252;35 mm digital camera|drugs|murder|train|travel;English;Spain;R;15000000;2.35;6,7;96%;79%;0
119;Black Mass;2015;Color;123;Biography|Crime|Drama;44000;Scott Cooper;108;391;289;Johnny Depp;Benedict Cumberbatch;Adam Scott;40000;19000;3000;62563543;115216;63769;based on true story|boston massachusetts|fbi agent|gangster|true crime;English;USA;R;53000000;2.35;7;51%;75%;0
